Country,srcYear,srcMonth,srcCalendarDay,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from Prime Movers (PM),Capacity of power generation from Fuel Oil (FO),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output,YearCode,Year,MonthCode,Month,DayCode,CalendarDay
India,2023,Sep-2023,15-Sep-2023,Thermal_Gas Liquid,25028.21,8724.24,,128.95,6573.88,11700.98,18403.80,73.53,6624.40,5736.76,5622.02,84.87,22.46,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230915,2023-09-15
India,2023,Sep-2023,15-Sep-2023,Hydro,46850.17,1255.00,,1460.50,1673.00,5490.80,8624.30,18.41,38225.87,34778.75,34430.96,90.07,73.49,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230915,2023-09-15
India,2023,Sep-2023,15-Sep-2023,Nuclear,7480.00,640.00,,760.00,320.00,0.00,1080.00,14.44,6400.00,6462.44,5719.26,89.36,76.46,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230915,2023-09-15
India,2023,Sep-2023,16-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230916,2023-09-16
India,2023,Sep-2023,16-Sep-2023,Thermal_Coal,206195.50,5111.00,800.00,7560.00,19322.50,4441.00,31323.50,15.19,174872.00,170472.91,155130.35,88.71,75.23,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230916,2023-09-16
India,2023,Sep-2023,16-Sep-2023,Thermal_Gas Liquid,25028.21,8724.24,,128.95,6532.88,11710.94,18372.77,73.41,6655.44,3849.79,3772.79,56.69,15.07,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230916,2023-09-16
India,2023,Sep-2023,21-Sep-2023,Thermal_Gas Liquid,25028.21,9606.85,,191.20,5657.41,10874.02,16722.63,66.82,8305.58,8120.62,7958.21,95.82,31.8,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230921,2023-09-21
India,2023,Sep-2023,21-Sep-2023,Hydro,46850.17,1087.00,,1387.00,1736.00,4643.70,7766.70,16.58,39083.47,37553.20,37177.67,95.12,79.35,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230921,2023-09-21
India,2023,Sep-2023,21-Sep-2023,Nuclear,7480.00,640.00,,540.00,320.00,0.00,860.00,11.50,6620.00,6692.14,5922.54,89.46,79.18,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230921,2023-09-21
India,2023,Sep-2023,21-Sep-2023,Thermal_Lignite,6620.00,250.00,,250.00,2335.00,0.00,2585.00,39.05,4035.00,3811.86,3468.79,85.97,52.4,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230921,2023-09-21
India,2023,Sep-2023,21-Sep-2023,Thermal_Coal,206195.50,5111.00,800.00,7310.00,22037.50,4901.00,34248.50,16.61,171947.00,169052.55,153837.82,89.47,74.61,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230921,2023-09-21
India,2023,Sep-2023,22-Sep-2023,Thermal_Coal,206195.50,5111.00,800.00,7100.00,18297.50,4691.00,30088.50,14.59,176107.00,168397.86,153242.05,87.02,74.32,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230922,2023-09-22
India,2023,Sep-2023,22-Sep-2023,Hydro,46850.17,1037.00,,1058.00,1719.00,4758.77,7535.77,16.08,39314.40,37626.86,37250.59,94.75,79.51,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230922,2023-09-22
India,2023,Sep-2023,22-Sep-2023,Thermal_Lignite,6620.00,250.00,,250.00,2835.00,0.00,3085.00,46.60,3535.00,3643.50,3315.59,93.79,50.08,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230922,2023-09-22
India,2023,Sep-2023,22-Sep-2023,Nuclear,7480.00,640.00,,540.00,320.00,0.00,860.00,11.50,6620.00,6687.29,5918.25,89.4,79.12,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230922,2023-09-22
India,2023,Sep-2023,22-Sep-2023,Thermal_Gas Liquid,25028.21,9052.73,,191.20,5233.91,11181.66,16606.76,66.35,8421.44,6903.62,6765.55,80.34,27.03,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230922,2023-09-22
India,2023,Aug-2023,13-Aug-2023,Nuclear,7480.00,640.00,,760.00,320.00,0.00,1080.00,14.44,6400.00,6325.80,5598.33,87.47,74.84,2023,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",20230813,2023-08-13
India,2023,Aug-2023,13-Aug-2023,Thermal_Coal,205945.50,5111.00,1997.00,16832.00,18150.00,5486.00,40468.00,19.65,165477.50,159875.73,145486.91,87.92,70.64,2023,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",20230813,2023-08-13
India,2023,Aug-2023,13-Aug-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",20230813,2023-08-13
India,2023,Aug-2023,13-Aug-2023,Thermal_Lignite,6620.00,250.00,,875.00,1650.00,0.00,2525.00,38.14,4095.00,3587.71,3264.82,79.73,49.32,2023,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",20230813,2023-08-13
India,2023,Aug-2023,15-Aug-2023,Nuclear,7480.00,640.00,,760.00,320.00,0.00,1080.00,14.44,6400.00,6307.16,5581.84,87.22,74.62,2023,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",20230815,2023-08-15
India,2023,Aug-2023,23-Aug-2023,Nuclear,7480.00,640.00,,760.00,1320.00,0.00,2080.00,27.81,5400.00,5345.68,4730.93,87.61,63.25,2023,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",20230823,2023-08-23
India,2023,Aug-2023,23-Aug-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",20230823,2023-08-23
India,2023,Aug-2023,28-Aug-2023,Hydro,46850.17,1590.50,,1123.50,1719.00,4989.80,7832.30,16.72,39017.87,38144.58,37763.13,96.78,80.6,2023,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",20230828,2023-08-28
India,2023,Aug-2023,29-Aug-2023,Hydro,46850.17,1440.50,,1123.50,1773.00,5151.30,8047.80,17.18,38802.37,37369.79,36996.10,95.34,78.97,2023,"Financial Year (Apr - Mar), 2023",202305,"August, 2023",20230829,2023-08-29
India,2023,Sep-2023,02-Sep-2023,Nuclear,7480.00,640.00,,760.00,1320.00,0.00,2080.00,27.81,5400.00,5433.69,4808.82,89.05,64.29,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230902,2023-09-02
India,2023,Sep-2023,03-Sep-2023,Thermal_Coal,205895.50,5111.00,800.00,10940.00,15885.00,3311.00,30136.00,14.64,175759.50,168802.62,153610.38,87.4,74.61,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230903,2023-09-03
India,2023,Sep-2023,03-Sep-2023,Thermal_Lignite,6620.00,250.00,,625.00,1130.00,0.00,1755.00,26.51,4865.00,4564.36,4153.56,85.38,62.74,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230903,2023-09-03
India,2023,Sep-2023,03-Sep-2023,Hydro,46850.17,1540.50,,1123.50,1619.00,7324.00,10066.50,21.49,36783.67,35517.66,35162.48,95.59,75.05,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230903,2023-09-03
India,2023,Sep-2023,03-Sep-2023,Nuclear,7480.00,640.00,,760.00,1320.00,0.00,2080.00,27.81,5400.00,5426.77,4802.69,88.94,64.21,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230903,2023-09-03
India,2023,Sep-2023,03-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230903,2023-09-03
India,2023,Sep-2023,04-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230904,2023-09-04
India,2023,Sep-2023,07-Sep-2023,Thermal_Coal,205895.50,5111.00,800.00,8980.00,21079.50,3901.00,33960.50,16.49,171935.00,167528.60,152451.03,88.67,74.04,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230907,2023-09-07
India,2023,Sep-2023,07-Sep-2023,Thermal_Gas Liquid,25028.21,9175.73,,128.95,6579.19,10657.13,17365.26,69.38,7662.94,7718.30,7563.93,98.71,30.22,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230907,2023-09-07
India,2023,Sep-2023,22-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230922,2023-09-22
India,2023,Sep-2023,23-Sep-2023,Nuclear,7480.00,640.00,,540.00,320.00,0.00,860.00,11.50,6620.00,6677.49,5909.58,89.27,79.01,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230923,2023-09-23
India,2023,Sep-2023,23-Sep-2023,Thermal_Coal,206195.50,5111.00,800.00,8060.00,22582.50,5101.00,35743.50,17.33,170452.00,166655.65,151656.64,88.97,73.55,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230923,2023-09-23
India,2023,Sep-2023,23-Sep-2023,Thermal_Lignite,6620.00,250.00,,250.00,2970.00,0.00,3220.00,48.64,3400.00,3797.71,3455.92,101.64,52.2,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230923,2023-09-23
India,2023,Sep-2023,25-Sep-2023,Thermal_Lignite,6620.00,250.00,,250.00,2335.00,0.00,2585.00,39.05,4035.00,3793.57,3452.15,85.56,52.15,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230925,2023-09-25
India,2023,Sep-2023,25-Sep-2023,Nuclear,7480.00,640.00,,540.00,520.00,0.00,1060.00,14.17,6420.00,6513.27,5764.24,89.79,77.06,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230925,2023-09-25
India,2023,Sep-2023,25-Sep-2023,Thermal_Gas Liquid,25028.21,9004.24,,191.20,7349.59,11612.27,19153.05,76.53,5875.15,3539.19,3468.41,59.04,13.86,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230925,2023-09-25
India,2023,Sep-2023,25-Sep-2023,Hydro,46850.17,937.00,,1058.00,1822.50,4526.50,7407.00,15.81,39443.17,37264.25,36891.61,93.53,78.74,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230925,2023-09-25
India,2023,Sep-2023,26-Sep-2023,Nuclear,7480.00,640.00,,540.00,520.00,0.00,1060.00,14.17,6420.00,6485.56,5739.72,89.4,76.73,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230926,2023-09-26
India,2023,Sep-2023,26-Sep-2023,Hydro,46850.17,687.00,,1168.00,2357.50,3417.50,6943.00,14.82,39907.17,38571.73,38186.01,95.69,81.51,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230926,2023-09-26
India,2023,Sep-2023,26-Sep-2023,Thermal_Lignite,6620.00,250.00,,250.00,2135.00,0.00,2385.00,36.03,4235.00,3966.22,3609.26,85.22,54.52,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230926,2023-09-26
India,2023,Sep-2023,26-Sep-2023,Thermal_Coal,206195.50,5111.00,800.00,8160.00,21089.50,4901.00,34150.50,16.56,172045.00,168231.52,153090.69,88.98,74.25,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230926,2023-09-26
India,2023,Sep-2023,26-Sep-2023,Thermal_Gas Liquid,25028.21,9004.24,,191.20,6549.09,11649.47,18389.75,73.48,6638.45,5449.82,5340.82,80.45,21.34,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230926,2023-09-26
India,2023,Sep-2023,27-Sep-2023,Thermal_Lignite,6620.00,250.00,,250.00,2000.00,0.00,2250.00,33.99,4370.00,4062.15,3696.56,84.59,55.84,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230927,2023-09-27
India,2023,Sep-2023,27-Sep-2023,Thermal_Gas Liquid,25028.21,9004.24,,191.20,7071.48,11612.27,18874.95,75.41,6153.26,6055.81,5934.69,96.45,23.71,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230927,2023-09-27
India,2023,Sep-2023,27-Sep-2023,Thermal_Coal,206195.50,5111.00,800.00,8370.00,20899.50,4641.00,33910.50,16.45,172285.00,168989.60,153780.54,89.26,74.58,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230927,2023-09-27
India,2023,Sep-2023,27-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230927,2023-09-27
India,2023,Sep-2023,27-Sep-2023,Nuclear,7480.00,640.00,,540.00,520.00,0.00,1060.00,14.17,6420.00,6690.39,5921.00,92.23,79.16,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230927,2023-09-27
India,2023,Sep-2023,28-Sep-2023,Nuclear,7480.00,640.00,,540.00,320.00,0.00,860.00,11.50,6620.00,6688.66,5919.46,89.42,79.14,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230928,2023-09-28
India,2023,Sep-2023,28-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230928,2023-09-28
India,2023,Sep-2023,28-Sep-2023,Thermal_Lignite,6620.00,250.00,,250.00,2375.00,0.00,2625.00,39.65,3995.00,4033.37,3670.37,91.87,55.44,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230928,2023-09-28
India,2023,Sep-2023,28-Sep-2023,Hydro,46850.17,1037.00,,1083.00,2212.50,3904.67,7200.17,15.37,39650.00,36388.16,36024.28,90.86,76.89,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230928,2023-09-28
India,2023,Sep-2023,28-Sep-2023,Thermal_Coal,206195.50,5111.00,800.00,8970.00,20439.50,4641.00,34050.50,16.51,172145.00,166388.42,151413.46,87.96,73.43,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230928,2023-09-28
India,2023,Sep-2023,28-Sep-2023,Thermal_Gas Liquid,25028.21,9004.24,,191.20,7132.02,11622.23,18945.45,75.70,6082.76,5832.08,5715.44,93.96,22.84,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230928,2023-09-28
India,2023,Sep-2023,29-Sep-2023,Thermal_Lignite,6620.00,250.00,,250.00,2000.00,0.00,2250.00,33.99,4370.00,3892.14,3541.85,81.05,53.5,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230929,2023-09-29
India,2023,Sep-2023,29-Sep-2023,Thermal_Coal,206195.50,5111.00,800.00,9370.00,19254.50,4221.00,32845.50,15.93,173350.00,167141.03,152098.33,87.74,73.76,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230929,2023-09-29
India,2023,Sep-2023,29-Sep-2023,Thermal_Gas Liquid,25028.21,9004.24,,155.05,6876.09,11882.20,18913.33,75.57,6114.87,4447.30,4358.35,71.27,17.41,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230929,2023-09-29
India,2023,Sep-2023,29-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230929,2023-09-29
India,2023,Sep-2023,26-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230926,2023-09-26
India,2023,Sep-2023,29-Sep-2023,Hydro,46850.17,937.00,,1038.00,2202.50,3692.87,6933.37,14.80,39916.80,36700.73,36333.72,91.02,77.55,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230929,2023-09-29
India,2023,Sep-2023,29-Sep-2023,Nuclear,7480.00,640.00,,540.00,320.00,0.00,860.00,11.50,6620.00,6687.12,5918.10,89.4,79.12,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230929,2023-09-29
India,2023,Sep-2023,30-Sep-2023,Thermal_Coal,206195.50,5111.00,800.00,9370.00,20174.50,4471.00,34015.50,16.50,172180.00,166004.96,151064.52,87.74,73.26,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230930,2023-09-30
India,2023,Sep-2023,30-Sep-2023,Nuclear,7480.00,640.00,,540.00,320.00,0.00,860.00,11.50,6620.00,6665.65,5899.10,89.11,78.86,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230930,2023-09-30
India,2023,Sep-2023,30-Sep-2023,Thermal_Lignite,6620.00,250.00,,250.00,1835.00,0.00,2085.00,31.50,4535.00,3823.30,3479.20,76.72,52.56,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230930,2023-09-30
India,2023,Sep-2023,30-Sep-2023,Hydro,46850.17,922.00,,1157.00,2162.50,4862.40,8181.90,17.46,38668.27,36309.38,35946.29,92.96,76.73,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230930,2023-09-30
India,2023,Sep-2023,30-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230930,2023-09-30
India,2023,Sep-2023,30-Sep-2023,Thermal_Gas Liquid,25028.21,9004.24,,92.80,6982.09,11621.27,18696.15,74.70,6332.05,5706.21,5592.09,88.31,22.34,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230930,2023-09-30
India,2023,Oct-2023,01-Oct-2023,Nuclear,7480.00,640.00,,540.00,320.00,0.00,860.00,11.50,6620.00,6706.89,5935.60,89.66,79.35,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231001,2023-10-01
India,2023,Oct-2023,01-Oct-2023,Thermal_Coal,206195.50,5111.00,800.00,10540.00,20409.50,5031.00,35980.50,17.45,170215.00,161278.08,146763.05,86.22,71.18,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231001,2023-10-01
India,2023,Oct-2023,01-Oct-2023,Hydro,46850.17,787.00,,1027.00,2375.30,5128.40,8530.70,18.21,38319.47,34326.40,33983.14,88.68,72.54,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231001,2023-10-01
India,2023,Oct-2023,01-Oct-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231001,2023-10-01
India,2023,Oct-2023,01-Oct-2023,Thermal_Lignite,6620.00,250.00,,250.00,1960.00,0.00,2210.00,33.38,4410.00,3967.68,3610.59,81.87,54.54,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231001,2023-10-01
India,2023,Oct-2023,01-Oct-2023,Thermal_Gas Liquid,25028.21,9004.24,,92.80,6982.09,11631.23,18706.12,74.74,6322.09,4607.96,4515.80,71.43,18.04,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231001,2023-10-01
India,2023,Oct-2023,02-Oct-2023,Nuclear,7480.00,640.00,,960.00,320.00,0.00,1280.00,17.11,6200.00,6702.31,5931.54,95.67,79.3,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231002,2023-10-02
India,2023,Oct-2023,04-Oct-2023,Thermal_Coal,206195.50,5111.00,800.00,10750.00,23299.50,4821.00,38870.50,18.85,167325.00,167646.85,152558.63,91.18,73.99,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231004,2023-10-04
India,2023,Oct-2023,04-Oct-2023,Nuclear,7480.00,640.00,,1180.00,540.00,0.00,1720.00,22.99,5760.00,6192.74,5480.57,95.15,73.27,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231004,2023-10-04
India,2023,Oct-2023,05-Oct-2023,Nuclear,7480.00,640.00,,980.00,540.00,0.00,1520.00,20.32,5960.00,6162.31,5453.64,91.5,72.91,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231005,2023-10-05
India,2023,Oct-2023,05-Oct-2023,Thermal_Lignite,6620.00,250.00,,250.00,2510.00,0.00,2760.00,41.69,3860.00,3623.91,3297.76,85.43,49.82,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231005,2023-10-05
India,2023,Oct-2023,05-Oct-2023,Thermal_Gas Liquid,25028.21,9104.24,,92.80,5727.07,11672.06,17491.93,69.89,7536.27,7732.91,7578.25,100.56,30.28,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231005,2023-10-05
India,2023,Oct-2023,05-Oct-2023,Thermal_Coal,206195.50,5111.00,800.00,10910.00,20559.50,4161.00,35630.50,17.28,170565.00,166634.67,151637.55,88.9,73.54,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231005,2023-10-05
India,2023,Oct-2023,06-Oct-2023,Hydro,46850.17,672.00,,1049.00,2315.30,4744.80,8109.10,17.31,38741.07,35997.95,35637.97,91.99,76.07,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231006,2023-10-06
India,2023,Oct-2023,06-Oct-2023,Thermal_Coal,206195.50,5111.00,800.00,11823.00,20999.50,3561.00,36383.50,17.65,169812.00,166708.37,151704.62,89.34,73.57,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231006,2023-10-06
India,2023,Oct-2023,06-Oct-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231006,2023-10-06
India,2023,Oct-2023,06-Oct-2023,Thermal_Lignite,6620.00,250.00,,460.00,2425.00,0.00,2885.00,43.58,3735.00,3897.73,3546.93,94.96,53.58,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231006,2023-10-06
India,2023,Oct-2023,06-Oct-2023,Thermal_Gas Liquid,25028.21,9832.34,,92.80,4416.40,10988.66,15497.86,61.92,9530.34,8378.28,8210.71,86.15,32.81,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231006,2023-10-06
India,2023,Oct-2023,06-Oct-2023,Nuclear,7480.00,640.00,,980.00,1320.00,0.00,2300.00,30.75,5180.00,6213.50,5498.95,106.16,73.52,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231006,2023-10-06
India,2023,Oct-2023,07-Oct-2023,Nuclear,7480.00,640.00,,980.00,1320.00,0.00,2300.00,30.75,5180.00,5200.88,4602.78,88.86,61.53,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231007,2023-10-07
India,2023,Oct-2023,07-Oct-2023,Hydro,46850.17,822.00,,1060.00,2325.30,4587.80,7973.10,17.02,38877.07,36021.32,35661.11,91.73,76.12,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231007,2023-10-07
India,2023,Oct-2023,07-Oct-2023,Thermal_Gas Liquid,25028.21,9743.63,,92.80,4064.40,10608.59,14765.79,59.00,10262.41,9079.68,8898.09,86.71,35.55,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231007,2023-10-07
India,2023,Sep-2023,07-Sep-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202306,"September, 2023",20230907,2023-09-07
India,2023,Oct-2023,07-Oct-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231007,2023-10-07
India,2023,Oct-2023,07-Oct-2023,Thermal_Lignite,6620.00,250.00,,460.00,2820.00,0.00,3280.00,49.55,3340.00,3973.68,3616.05,108.26,54.62,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231007,2023-10-07
India,2023,Oct-2023,07-Oct-2023,Thermal_Coal,206195.50,5111.00,800.00,13083.00,19107.50,3311.00,35501.50,17.22,170694.00,167144.04,152101.07,89.11,73.77,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231007,2023-10-07
India,2023,Oct-2023,08-Oct-2023,Thermal_Coal,206195.50,5111.00,800.00,13183.00,18822.50,3311.00,35316.50,17.13,170879.00,166091.35,151143.13,88.45,73.3,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231008,2023-10-08
India,2023,Oct-2023,09-Oct-2023,Hydro,46850.17,1287.00,,1099.00,2408.30,4724.87,8232.17,17.57,38618.00,35716.08,35358.92,91.56,75.47,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231009,2023-10-09
India,2023,Oct-2023,10-Oct-2023,Thermal_Lignite,6620.00,250.00,,460.00,2610.00,0.00,3070.00,46.37,3550.00,3328.67,3029.09,85.33,45.76,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231010,2023-10-10
India,2023,Oct-2023,10-Oct-2023,Thermal_Gas Liquid,25028.21,10073.72,,92.80,3818.11,9904.55,13815.46,55.20,11212.75,11431.84,11203.20,99.91,44.76,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231010,2023-10-10
India,2023,Oct-2023,10-Oct-2023,Hydro,46850.17,922.00,,1111.00,2205.30,5138.74,8455.04,18.05,38395.13,35353.89,35000.35,91.16,74.71,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231010,2023-10-10
India,2023,Oct-2023,10-Oct-2023,Thermal_Coal,207045.50,5111.00,800.00,12160.00,18607.50,3311.00,34078.50,16.46,172967.00,169593.90,154330.45,89.23,74.54,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231010,2023-10-10
India,2023,Oct-2023,10-Oct-2023,Nuclear,7480.00,480.00,,980.00,320.00,0.00,1300.00,17.38,6180.00,6197.94,5485.18,88.76,73.33,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231010,2023-10-10
India,2023,Oct-2023,11-Oct-2023,Thermal_Lignite,6620.00,250.00,,460.00,2610.00,0.00,3070.00,46.37,3550.00,3256.06,2963.01,83.47,44.76,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231011,2023-10-11
India,2023,Oct-2023,11-Oct-2023,Nuclear,7480.00,480.00,,980.00,320.00,0.00,1300.00,17.38,6180.00,6221.66,5506.17,89.1,73.61,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231011,2023-10-11
India,2023,Oct-2023,11-Oct-2023,Thermal_Coal,207045.50,5111.00,800.00,12160.00,18082.50,3311.00,33553.50,16.21,173492.00,171680.05,156228.84,90.05,75.46,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231011,2023-10-11
India,2023,Oct-2023,11-Oct-2023,Hydro,46850.17,1172.00,,1111.00,2257.30,5036.40,8404.70,17.94,38445.47,35032.11,34681.79,90.21,74.03,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231011,2023-10-11
India,2023,Oct-2023,12-Oct-2023,Nuclear,7480.00,480.00,,980.00,320.00,0.00,1300.00,17.38,6180.00,6222.57,5506.97,89.11,73.62,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231012,2023-10-12
